CODPRODUTO;DESCRICAO;CODBARRAS;TAMANHO;QTDE;PREÇO
900149;BLUSA CROPPED MARINHO BLOOM TESTE 149;7899009001490;1;13;215.9
900149;BLUSA CROPPED MARINHO BLOOM TESTE 149;7899009001491;2;15;220.9
900150;CALCA JEANS TERRACOTA COLECAO DEV 150;7899009001500;1;20;232.9
900150;CALCA JEANS TERRACOTA COLECAO DEV 150;7899009001501;2;4;237.9
900150;CALCA JEANS TERRACOTA COLECAO DEV 150;7899009001502;3;6;242.9
900151;SHORT JEANS ROSA LINHA MINI 151;7899009001510;1;9;249.9
900151;SHORT JEANS ROSA LINHA MINI 151;7899009001511;2;11;254.9
900152;CASACO CORTA VENTO AZUL MODELO 2027 152;7899009001520;2;16;266.9
900152;CASACO CORTA VENTO AZUL MODELO 2027 152;7899009001521;3;18;271.9
900152;CASACO CORTA VENTO AZUL MODELO 2027 152;7899009001522;4;20;276.9
900153;PIJAMA MALHA AMARELO BLOOM TESTE 153;7899009001530;1;5;283.9
900153;PIJAMA MALHA AMARELO BLOOM TESTE 153;7899009001531;2;7;288.9
900154;JARDINEIRA SARJA VERDE COLECAO DEV 154;7899009001540;1;12;40.9
900154;JARDINEIRA SARJA VERDE COLECAO DEV 154;7899009001541;2;14;45.9
900154;JARDINEIRA SARJA VERDE COLECAO DEV 154;7899009001542;3;16;50.9
900155;SANDALIA VELCRO LILAS LINHA MINI 155;7899009001550;19/20;19;57.9
900155;SANDALIA VELCRO LILAS LINHA MINI 155;7899009001551;21/22;3;62.9
900156;TENIS LONA BEGE MODELO 2027 156;7899009001560;19/20;8;74.9
900156;TENIS LONA BEGE MODELO 2027 156;7899009001561;21/22;10;79.9
900156;TENIS LONA BEGE MODELO 2027 156;7899009001562;23/24;12;84.9
900157;MANTA TRICOT OFF WHITE BLOOM TESTE 157;7899009001570;U;15;91.9
900158;TOALHA BORDADA CINZA COLECAO DEV 158;7899009001580;U;4;108.9
900159;CHUPETA SILICONE MARINHO LINHA MINI 159;7899009001590;U;11;125.9
900160;BRINQUEDO EDUCATIVO TERRACOTA MODELO 2027 160;7899009001600;U;18;142.9
900161;BODY GOLA POLO ROSA BLOOM TESTE 161;7899009001610;RN;7;159.9
900161;BODY GOLA POLO ROSA BLOOM TESTE 161;7899009001611;P;9;164.9
900162;MACACAO SUEDINE AZUL COLECAO DEV 162;7899009001620;P;14;176.9
900162;MACACAO SUEDINE AZUL COLECAO DEV 162;7899009001621;M;16;181.9
900162;MACACAO SUEDINE AZUL COLECAO DEV 162;7899009001622;G;18;186.9
900163;VESTIDO TULE AMARELO LINHA MINI 163;7899009001630;1;3;193.9
900163;VESTIDO TULE AMARELO LINHA MINI 163;7899009001631;2;5;198.9
900164;CONJUNTO MOLETOM E JOGGER VERDE MODELO 2027 164;7899009001640;1;10;210.9
900164;CONJUNTO MOLETOM E JOGGER VERDE MODELO 2027 164;7899009001641;2;12;215.9
900164;CONJUNTO MOLETOM E JOGGER VERDE MODELO 2027 164;7899009001642;3;14;220.9
900165;BLUSA MANGA BUFANTE LILAS BLOOM TESTE 165;7899009001650;1;17;227.9
900165;BLUSA MANGA BUFANTE LILAS BLOOM TESTE 165;7899009001651;2;19;232.9
900166;CALCA MOLETOM BEGE COLECAO DEV 166;7899009001660;1;6;244.9
900166;CALCA MOLETOM BEGE COLECAO DEV 166;7899009001661;2;8;249.9
900166;CALCA MOLETOM BEGE COLECAO DEV 166;7899009001662;3;10;254.9
900167;SHORT MOLETOM OFF WHITE LINHA MINI 167;7899009001670;1;13;261.9
900167;SHORT MOLETOM OFF WHITE LINHA MINI 167;7899009001671;2;15;266.9
900168;CASACO TRICOT CINZA MODELO 2027 168;7899009001680;2;20;278.9
900168;CASACO TRICOT CINZA MODELO 2027 168;7899009001681;3;4;283.9
900168;CASACO TRICOT CINZA MODELO 2027 168;7899009001682;4;6;288.9
900169;PIJAMA FLANELA MARINHO BLOOM TESTE 169;7899009001690;1;9;295.9
900169;PIJAMA FLANELA MARINHO BLOOM TESTE 169;7899009001691;2;11;300.9
900170;JARDINEIRA MOLETOM TERRACOTA COLECAO DEV 170;7899009001700;1;16;52.9
900170;JARDINEIRA MOLETOM TERRACOTA COLECAO DEV 170;7899009001701;2;18;57.9
900170;JARDINEIRA MOLETOM TERRACOTA COLECAO DEV 170;7899009001702;3;20;62.9
900171;SANDALIA FLOR ROSA LINHA MINI 171;7899009001710;19/20;5;69.9
900171;SANDALIA FLOR ROSA LINHA MINI 171;7899009001711;21/22;7;74.9
900172;TENIS LUZ AZUL MODELO 2027 172;7899009001720;19/20;12;86.9
900172;TENIS LUZ AZUL MODELO 2027 172;7899009001721;21/22;14;91.9
900172;TENIS LUZ AZUL MODELO 2027 172;7899009001722;23/24;16;96.9
900173;MANTA PELUCIA AMARELO BLOOM TESTE 173;7899009001730;U;19;103.9
900174;TOALHA FRALDA VERDE COLECAO DEV 174;7899009001740;U;8;120.9
900175;CHUPETA BICO REDONDO LILAS LINHA MINI 175;7899009001750;U;15;137.9
900176;BRINQUEDO MONTAR BEGE MODELO 2027 176;7899009001760;U;4;154.9
900177;BODY TRANSPASSADO OFF WHITE BLOOM TESTE 177;7899009001770;RN;11;171.9
900177;BODY TRANSPASSADO OFF WHITE BLOOM TESTE 177;7899009001771;P;13;176.9
900178;MACACAO CANELADO CINZA COLECAO DEV 178;7899009001780;P;18;188.9
900178;MACACAO CANELADO CINZA COLECAO DEV 178;7899009001781;M;20;193.9
900178;MACACAO CANELADO CINZA COLECAO DEV 178;7899009001782;G;4;198.9
900179;VESTIDO LACO MARINHO LINHA MINI 179;7899009001790;1;7;205.9
900179;VESTIDO LACO MARINHO LINHA MINI 179;7899009001791;2;9;210.9
900180;CONJUNTO REGATA E BERMUDA TERRACOTA MODELO 2027 180;7899009001800;1;14;222.9
900180;CONJUNTO REGATA E BERMUDA TERRACOTA MODELO 2027 180;7899009001801;2;16;227.9
900180;CONJUNTO REGATA E BERMUDA TERRACOTA MODELO 2027 180;7899009001802;3;18;232.9
900181;BLUSA TRICOT ROSA BLOOM TESTE 181;7899009001810;1;3;239.9
900181;BLUSA TRICOT ROSA BLOOM TESTE 181;7899009001811;2;5;244.9
900182;CALCA LEGGING AZUL COLECAO DEV 182;7899009001820;1;10;256.9
900182;CALCA LEGGING AZUL COLECAO DEV 182;7899009001821;2;12;261.9
900182;CALCA LEGGING AZUL COLECAO DEV 182;7899009001822;3;14;266.9
900183;SHORT TACTEL AMARELO LINHA MINI 183;7899009001830;1;17;273.9
900183;SHORT TACTEL AMARELO LINHA MINI 183;7899009001831;2;19;278.9
900184;CASACO PUFFER VERDE MODELO 2027 184;7899009001840;2;6;290.9
900184;CASACO PUFFER VERDE MODELO 2027 184;7899009001841;3;8;295.9
900184;CASACO PUFFER VERDE MODELO 2027 184;7899009001842;4;10;300.9
900185;PIJAMA SHORT DOLL LILAS BLOOM TESTE 185;7899009001850;1;13;47.9
900185;PIJAMA SHORT DOLL LILAS BLOOM TESTE 185;7899009001851;2;15;52.9
900186;JARDINEIRA LINHO BEGE COLECAO DEV 186;7899009001860;1;20;64.9
900186;JARDINEIRA LINHO BEGE COLECAO DEV 186;7899009001861;2;4;69.9
900186;JARDINEIRA LINHO BEGE COLECAO DEV 186;7899009001862;3;6;74.9
900187;SANDALIA METALIZADA OFF WHITE LINHA MINI 187;7899009001870;19/20;9;81.9
900187;SANDALIA METALIZADA OFF WHITE LINHA MINI 187;7899009001871;21/22;11;86.9
900188;TENIS PASSEIO CINZA MODELO 2027 188;7899009001880;19/20;16;98.9
900188;TENIS PASSEIO CINZA MODELO 2027 188;7899009001881;21/22;18;103.9
900188;TENIS PASSEIO CINZA MODELO 2027 188;7899009001882;23/24;20;108.9
900189;MANTA BORDADA MARINHO BLOOM TESTE 189;7899009001890;U;5;115.9
900190;TOALHA KIT TERRACOTA COLECAO DEV 190;7899009001900;U;12;132.9
900191;CHUPETA COM CLIPE ROSA LINHA MINI 191;7899009001910;U;19;149.9
900192;BRINQUEDO DE BANHO AZUL MODELO 2027 192;7899009001920;U;8;166.9
900193;BODY MANGA CURTA AMARELO BLOOM TESTE 193;7899009001930;RN;15;183.9
900193;BODY MANGA CURTA AMARELO BLOOM TESTE 193;7899009001931;P;17;188.9
900194;MACACAO PLUSH VERDE COLECAO DEV 194;7899009001940;P;4;200.9
900194;MACACAO PLUSH VERDE COLECAO DEV 194;7899009001941;M;6;205.9
900194;MACACAO PLUSH VERDE COLECAO DEV 194;7899009001942;G;8;210.9
900195;VESTIDO FLORAL LILAS LINHA MINI 195;7899009001950;1;11;217.9
900195;VESTIDO FLORAL LILAS LINHA MINI 195;7899009001951;2;13;222.9
900196;CONJUNTO CAMISETA E SHORT BEGE MODELO 2027 196;7899009001960;1;18;234.9
900196;CONJUNTO CAMISETA E SHORT BEGE MODELO 2027 196;7899009001961;2;20;239.9
900196;CONJUNTO CAMISETA E SHORT BEGE MODELO 2027 196;7899009001962;3;4;244.9
900197;BLUSA BASICA OFF WHITE BLOOM TESTE 197;7899009001970;1;7;251.9
900197;BLUSA BASICA OFF WHITE BLOOM TESTE 197;7899009001971;2;9;256.9
900198;CALCA SARJA CINZA COLECAO DEV 198;7899009001980;1;14;268.9
900198;CALCA SARJA CINZA COLECAO DEV 198;7899009001981;2;16;273.9
900198;CALCA SARJA CINZA COLECAO DEV 198;7899009001982;3;18;278.9
900199;SHORT SARJA MARINHO LINHA MINI 199;7899009001990;1;3;285.9
900199;SHORT SARJA MARINHO LINHA MINI 199;7899009001991;2;5;290.9
900200;CASACO MOLETOM TERRACOTA MODELO 2027 200;7899009002000;2;10;42.9
900200;CASACO MOLETOM TERRACOTA MODELO 2027 200;7899009002001;3;12;47.9
900200;CASACO MOLETOM TERRACOTA MODELO 2027 200;7899009002002;4;14;52.9
900201;PIJAMA SUEDINE ROSA BLOOM TESTE 201;7899009002010;1;17;59.9
900201;PIJAMA SUEDINE ROSA BLOOM TESTE 201;7899009002011;2;19;64.9
900202;JARDINEIRA JEANS AZUL COLECAO DEV 202;7899009002020;1;6;76.9
900202;JARDINEIRA JEANS AZUL COLECAO DEV 202;7899009002021;2;8;81.9
900202;JARDINEIRA JEANS AZUL COLECAO DEV 202;7899009002022;3;10;86.9
900203;SANDALIA TIRAS AMARELO LINHA MINI 203;7899009002030;19/20;13;93.9
900203;SANDALIA TIRAS AMARELO LINHA MINI 203;7899009002031;21/22;15;98.9
900204;TENIS CASUAL VERDE MODELO 2027 204;7899009002040;19/20;20;110.9
900204;TENIS CASUAL VERDE MODELO 2027 204;7899009002041;21/22;4;115.9
900204;TENIS CASUAL VERDE MODELO 2027 204;7899009002042;23/24;6;120.9
900205;MANTA SOFT LILAS BLOOM TESTE 205;7899009002050;U;9;127.9
900206;TOALHA COM CAPUZ BEGE COLECAO DEV 206;7899009002060;U;16;144.9
900207;CHUPETA ORTODONTICA OFF WHITE LINHA MINI 207;7899009002070;U;5;161.9
900208;BRINQUEDO MUSICAL CINZA MODELO 2027 208;7899009002080;U;12;178.9
900209;BODY MANGA LONGA MARINHO BLOOM TESTE 209;7899009002090;RN;19;195.9
900209;BODY MANGA LONGA MARINHO BLOOM TESTE 209;7899009002091;P;3;200.9
900210;MACACAO MOLETOM TERRACOTA COLECAO DEV 210;7899009002100;P;8;212.9
900210;MACACAO MOLETOM TERRACOTA COLECAO DEV 210;7899009002101;M;10;217.9
900210;MACACAO MOLETOM TERRACOTA COLECAO DEV 210;7899009002102;G;12;222.9
900211;VESTIDO LISO ROSA LINHA MINI 211;7899009002110;1;15;229.9
900211;VESTIDO LISO ROSA LINHA MINI 211;7899009002111;2;17;234.9
900212;CONJUNTO BLUSA E CALCA AZUL MODELO 2027 212;7899009002120;1;4;246.9
900212;CONJUNTO BLUSA E CALCA AZUL MODELO 2027 212;7899009002121;2;6;251.9
900212;CONJUNTO BLUSA E CALCA AZUL MODELO 2027 212;7899009002122;3;8;256.9
900213;BLUSA CROPPED AMARELO BLOOM TESTE 213;7899009002130;1;11;263.9
900213;BLUSA CROPPED AMARELO BLOOM TESTE 213;7899009002131;2;13;268.9
900214;CALCA JEANS VERDE COLECAO DEV 214;7899009002140;1;18;280.9
900214;CALCA JEANS VERDE COLECAO DEV 214;7899009002141;2;20;285.9
900214;CALCA JEANS VERDE COLECAO DEV 214;7899009002142;3;4;290.9
900215;SHORT JEANS LILAS LINHA MINI 215;7899009002150;1;7;297.9
900215;SHORT JEANS LILAS LINHA MINI 215;7899009002151;2;9;302.9
900216;CASACO CORTA VENTO BEGE MODELO 2027 216;7899009002160;2;14;54.9
900216;CASACO CORTA VENTO BEGE MODELO 2027 216;7899009002161;3;16;59.9
900216;CASACO CORTA VENTO BEGE MODELO 2027 216;7899009002162;4;18;64.9
900217;PIJAMA MALHA OFF WHITE BLOOM TESTE 217;7899009002170;1;3;71.9
900217;PIJAMA MALHA OFF WHITE BLOOM TESTE 217;7899009002171;2;5;76.9
900218;JARDINEIRA SARJA CINZA COLECAO DEV 218;7899009002180;1;10;88.9
900218;JARDINEIRA SARJA CINZA COLECAO DEV 218;7899009002181;2;12;93.9
900218;JARDINEIRA SARJA CINZA COLECAO DEV 218;7899009002182;3;14;98.9
900219;SANDALIA VELCRO MARINHO LINHA MINI 219;7899009002190;19/20;17;105.9
900219;SANDALIA VELCRO MARINHO LINHA MINI 219;7899009002191;21/22;19;110.9
900220;TENIS LONA TERRACOTA MODELO 2027 220;7899009002200;19/20;6;122.9
900220;TENIS LONA TERRACOTA MODELO 2027 220;7899009002201;21/22;8;127.9
900220;TENIS LONA TERRACOTA MODELO 2027 220;7899009002202;23/24;10;132.9
900221;MANTA TRICOT ROSA BLOOM TESTE 221;7899009002210;U;13;139.9
900222;TOALHA BORDADA AZUL COLECAO DEV 222;7899009002220;U;20;156.9
900223;CHUPETA SILICONE AMARELO LINHA MINI 223;7899009002230;U;9;173.9
900224;BRINQUEDO EDUCATIVO VERDE MODELO 2027 224;7899009002240;U;16;190.9
900225;BODY GOLA POLO LILAS BLOOM TESTE 225;7899009002250;RN;5;207.9
900225;BODY GOLA POLO LILAS BLOOM TESTE 225;7899009002251;P;7;212.9
900226;MACACAO SUEDINE BEGE COLECAO DEV 226;7899009002260;P;12;224.9
900226;MACACAO SUEDINE BEGE COLECAO DEV 226;7899009002261;M;14;229.9
900226;MACACAO SUEDINE BEGE COLECAO DEV 226;7899009002262;G;16;234.9
900227;VESTIDO TULE OFF WHITE LINHA MINI 227;7899009002270;1;19;241.9
900227;VESTIDO TULE OFF WHITE LINHA MINI 227;7899009002271;2;3;246.9
900228;CONJUNTO MOLETOM E JOGGER CINZA MODELO 2027 228;7899009002280;1;8;258.9
900228;CONJUNTO MOLETOM E JOGGER CINZA MODELO 2027 228;7899009002281;2;10;263.9
900228;CONJUNTO MOLETOM E JOGGER CINZA MODELO 2027 228;7899009002282;3;12;268.9
900229;BLUSA MANGA BUFANTE MARINHO BLOOM TESTE 229;7899009002290;1;15;275.9
900229;BLUSA MANGA BUFANTE MARINHO BLOOM TESTE 229;7899009002291;2;17;280.9
900230;CALCA MOLETOM TERRACOTA COLECAO DEV 230;7899009002300;1;4;292.9
900230;CALCA MOLETOM TERRACOTA COLECAO DEV 230;7899009002301;2;6;297.9
900230;CALCA MOLETOM TERRACOTA COLECAO DEV 230;7899009002302;3;8;302.9
900231;SHORT MOLETOM ROSA LINHA MINI 231;7899009002310;1;11;49.9
900231;SHORT MOLETOM ROSA LINHA MINI 231;7899009002311;2;13;54.9
900232;CASACO TRICOT AZUL MODELO 2027 232;7899009002320;2;18;66.9
900232;CASACO TRICOT AZUL MODELO 2027 232;7899009002321;3;20;71.9
900232;CASACO TRICOT AZUL MODELO 2027 232;7899009002322;4;4;76.9
900233;PIJAMA FLANELA AMARELO BLOOM TESTE 233;7899009002330;1;7;83.9
900233;PIJAMA FLANELA AMARELO BLOOM TESTE 233;7899009002331;2;9;88.9
900234;JARDINEIRA MOLETOM VERDE COLECAO DEV 234;7899009002340;1;14;100.9
900234;JARDINEIRA MOLETOM VERDE COLECAO DEV 234;7899009002341;2;16;105.9
900234;JARDINEIRA MOLETOM VERDE COLECAO DEV 234;7899009002342;3;18;110.9
900235;SANDALIA FLOR LILAS LINHA MINI 235;7899009002350;19/20;3;117.9
900235;SANDALIA FLOR LILAS LINHA MINI 235;7899009002351;21/22;5;122.9
900236;TENIS LUZ BEGE MODELO 2027 236;7899009002360;19/20;10;134.9
900236;TENIS LUZ BEGE MODELO 2027 236;7899009002361;21/22;12;139.9
900236;TENIS LUZ BEGE MODELO 2027 236;7899009002362;23/24;14;144.9
900237;MANTA PELUCIA OFF WHITE BLOOM TESTE 237;7899009002370;U;17;151.9
900238;TOALHA FRALDA CINZA COLECAO DEV 238;7899009002380;U;6;168.9
900239;CHUPETA BICO REDONDO MARINHO LINHA MINI 239;7899009002390;U;13;185.9
900240;BRINQUEDO MONTAR TERRACOTA MODELO 2027 240;7899009002400;U;20;202.9
900241;BODY TRANSPASSADO ROSA BLOOM TESTE 241;7899009002410;RN;9;219.9
900241;BODY TRANSPASSADO ROSA BLOOM TESTE 241;7899009002411;P;11;224.9
900242;MACACAO CANELADO AZUL COLECAO DEV 242;7899009002420;P;16;236.9
900242;MACACAO CANELADO AZUL COLECAO DEV 242;7899009002421;M;18;241.9
900242;MACACAO CANELADO AZUL COLECAO DEV 242;7899009002422;G;20;246.9
900243;VESTIDO LACO AMARELO LINHA MINI 243;7899009002430;1;5;253.9
900243;VESTIDO LACO AMARELO LINHA MINI 243;7899009002431;2;7;258.9
900244;CONJUNTO REGATA E BERMUDA VERDE MODELO 2027 244;7899009002440;1;12;270.9
900244;CONJUNTO REGATA E BERMUDA VERDE MODELO 2027 244;7899009002441;2;14;275.9
900244;CONJUNTO REGATA E BERMUDA VERDE MODELO 2027 244;7899009002442;3;16;280.9
900245;BLUSA TRICOT LILAS BLOOM TESTE 245;7899009002450;1;19;287.9
900245;BLUSA TRICOT LILAS BLOOM TESTE 245;7899009002451;2;3;292.9
900246;CALCA LEGGING BEGE COLECAO DEV 246;7899009002460;1;8;44.9
900246;CALCA LEGGING BEGE COLECAO DEV 246;7899009002461;2;10;49.9
900246;CALCA LEGGING BEGE COLECAO DEV 246;7899009002462;3;12;54.9
900247;SHORT TACTEL OFF WHITE LINHA MINI 247;7899009002470;1;15;61.9
900247;SHORT TACTEL OFF WHITE LINHA MINI 247;7899009002471;2;17;66.9
900248;CASACO PUFFER CINZA MODELO 2027 248;7899009002480;2;4;78.9
900248;CASACO PUFFER CINZA MODELO 2027 248;7899009002481;3;6;83.9
900248;CASACO PUFFER CINZA MODELO 2027 248;7899009002482;4;8;88.9
900249;PIJAMA SHORT DOLL MARINHO BLOOM TESTE 249;7899009002490;1;11;95.9
900249;PIJAMA SHORT DOLL MARINHO BLOOM TESTE 249;7899009002491;2;13;100.9
900250;JARDINEIRA LINHO TERRACOTA COLECAO DEV 250;7899009002500;1;18;112.9
900250;JARDINEIRA LINHO TERRACOTA COLECAO DEV 250;7899009002501;2;20;117.9
900250;JARDINEIRA LINHO TERRACOTA COLECAO DEV 250;7899009002502;3;4;122.9
900251;SANDALIA METALIZADA ROSA LINHA MINI 251;7899009002510;19/20;7;129.9
900251;SANDALIA METALIZADA ROSA LINHA MINI 251;7899009002511;21/22;9;134.9
900252;TENIS PASSEIO AZUL MODELO 2027 252;7899009002520;19/20;14;146.9
900252;TENIS PASSEIO AZUL MODELO 2027 252;7899009002521;21/22;16;151.9
900252;TENIS PASSEIO AZUL MODELO 2027 252;7899009002522;23/24;18;156.9
900253;MANTA BORDADA AMARELO BLOOM TESTE 253;7899009002530;U;3;163.9
900254;TOALHA KIT VERDE COLECAO DEV 254;7899009002540;U;10;180.9
900255;CHUPETA COM CLIPE LILAS LINHA MINI 255;7899009002550;U;17;197.9
900256;BRINQUEDO DE BANHO BEGE MODELO 2027 256;7899009002560;U;6;214.9
900257;BODY MANGA CURTA OFF WHITE BLOOM TESTE 257;7899009002570;RN;13;231.9
900257;BODY MANGA CURTA OFF WHITE BLOOM TESTE 257;7899009002571;P;15;236.9
900258;MACACAO PLUSH CINZA COLECAO DEV 258;7899009002580;P;20;248.9
900258;MACACAO PLUSH CINZA COLECAO DEV 258;7899009002581;M;4;253.9
900258;MACACAO PLUSH CINZA COLECAO DEV 258;7899009002582;G;6;258.9
900259;VESTIDO FLORAL MARINHO LINHA MINI 259;7899009002590;1;9;265.9
900259;VESTIDO FLORAL MARINHO LINHA MINI 259;7899009002591;2;11;270.9
900260;CONJUNTO CAMISETA E SHORT TERRACOTA MODELO 2027 260;7899009002600;1;16;282.9
900260;CONJUNTO CAMISETA E SHORT TERRACOTA MODELO 2027 260;7899009002601;2;18;287.9
900260;CONJUNTO CAMISETA E SHORT TERRACOTA MODELO 2027 260;7899009002602;3;20;292.9
900261;BLUSA BASICA ROSA BLOOM TESTE 261;7899009002610;1;5;39.9
900261;BLUSA BASICA ROSA BLOOM TESTE 261;7899009002611;2;7;44.9
900262;CALCA SARJA AZUL COLECAO DEV 262;7899009002620;1;12;56.9
900262;CALCA SARJA AZUL COLECAO DEV 262;7899009002621;2;14;61.9
900262;CALCA SARJA AZUL COLECAO DEV 262;7899009002622;3;16;66.9
900263;SHORT SARJA AMARELO LINHA MINI 263;7899009002630;1;19;73.9
900263;SHORT SARJA AMARELO LINHA MINI 263;7899009002631;2;3;78.9
900264;CASACO MOLETOM VERDE MODELO 2027 264;7899009002640;2;8;90.9
900264;CASACO MOLETOM VERDE MODELO 2027 264;7899009002641;3;10;95.9
900264;CASACO MOLETOM VERDE MODELO 2027 264;7899009002642;4;12;100.9
900265;PIJAMA SUEDINE LILAS BLOOM TESTE 265;7899009002650;1;15;107.9
900265;PIJAMA SUEDINE LILAS BLOOM TESTE 265;7899009002651;2;17;112.9
900266;JARDINEIRA JEANS BEGE COLECAO DEV 266;7899009002660;1;4;124.9
900266;JARDINEIRA JEANS BEGE COLECAO DEV 266;7899009002661;2;6;129.9
900266;JARDINEIRA JEANS BEGE COLECAO DEV 266;7899009002662;3;8;134.9
900267;SANDALIA TIRAS OFF WHITE LINHA MINI 267;7899009002670;19/20;11;141.9
900267;SANDALIA TIRAS OFF WHITE LINHA MINI 267;7899009002671;21/22;13;146.9
900268;TENIS CASUAL CINZA MODELO 2027 268;7899009002680;19/20;18;158.9
900268;TENIS CASUAL CINZA MODELO 2027 268;7899009002681;21/22;20;163.9
900268;TENIS CASUAL CINZA MODELO 2027 268;7899009002682;23/24;4;168.9
900269;MANTA SOFT MARINHO BLOOM TESTE 269;7899009002690;U;7;175.9
900270;TOALHA COM CAPUZ TERRACOTA COLECAO DEV 270;7899009002700;U;14;192.9
900271;CHUPETA ORTODONTICA ROSA LINHA MINI 271;7899009002710;U;3;209.9
900272;BRINQUEDO MUSICAL AZUL MODELO 2027 272;7899009002720;U;10;226.9
900273;BODY MANGA LONGA AMARELO BLOOM TESTE 273;7899009002730;RN;17;243.9
900273;BODY MANGA LONGA AMARELO BLOOM TESTE 273;7899009002731;P;19;248.9
900274;MACACAO MOLETOM VERDE COLECAO DEV 274;7899009002740;P;6;260.9
900274;MACACAO MOLETOM VERDE COLECAO DEV 274;7899009002741;M;8;265.9
900274;MACACAO MOLETOM VERDE COLECAO DEV 274;7899009002742;G;10;270.9
900275;VESTIDO LISO LILAS LINHA MINI 275;7899009002750;1;13;277.9
900275;VESTIDO LISO LILAS LINHA MINI 275;7899009002751;2;15;282.9
900276;CONJUNTO BLUSA E CALCA BEGE MODELO 2027 276;7899009002760;1;20;294.9
900276;CONJUNTO BLUSA E CALCA BEGE MODELO 2027 276;7899009002761;2;4;299.9
900276;CONJUNTO BLUSA E CALCA BEGE MODELO 2027 276;7899009002762;3;6;304.9
900277;BLUSA CROPPED OFF WHITE BLOOM TESTE 277;7899009002770;1;9;51.9
900277;BLUSA CROPPED OFF WHITE BLOOM TESTE 277;7899009002771;2;11;56.9
900278;CALCA JEANS CINZA COLECAO DEV 278;7899009002780;1;16;68.9
900278;CALCA JEANS CINZA COLECAO DEV 278;7899009002781;2;18;73.9
900278;CALCA JEANS CINZA COLECAO DEV 278;7899009002782;3;20;78.9
900279;SHORT JEANS MARINHO LINHA MINI 279;7899009002790;1;5;85.9
900279;SHORT JEANS MARINHO LINHA MINI 279;7899009002791;2;7;90.9
900280;CASACO CORTA VENTO TERRACOTA MODELO 2027 280;7899009002800;2;12;102.9
900280;CASACO CORTA VENTO TERRACOTA MODELO 2027 280;7899009002801;3;14;107.9
900280;CASACO CORTA VENTO TERRACOTA MODELO 2027 280;7899009002802;4;16;112.9
900281;PIJAMA MALHA ROSA BLOOM TESTE 281;7899009002810;1;19;119.9
900281;PIJAMA MALHA ROSA BLOOM TESTE 281;7899009002811;2;3;124.9
900282;JARDINEIRA SARJA AZUL COLECAO DEV 282;7899009002820;1;8;136.9
900282;JARDINEIRA SARJA AZUL COLECAO DEV 282;7899009002821;2;10;141.9
900282;JARDINEIRA SARJA AZUL COLECAO DEV 282;7899009002822;3;12;146.9
900283;SANDALIA VELCRO AMARELO LINHA MINI 283;7899009002830;19/20;15;153.9
900283;SANDALIA VELCRO AMARELO LINHA MINI 283;7899009002831;21/22;17;158.9
900284;TENIS LONA VERDE MODELO 2027 284;7899009002840;19/20;4;170.9
900284;TENIS LONA VERDE MODELO 2027 284;7899009002841;21/22;6;175.9
900284;TENIS LONA VERDE MODELO 2027 284;7899009002842;23/24;8;180.9
900285;MANTA TRICOT LILAS BLOOM TESTE 285;7899009002850;U;11;187.9
900286;TOALHA BORDADA BEGE COLECAO DEV 286;7899009002860;U;18;204.9
900287;CHUPETA SILICONE OFF WHITE LINHA MINI 287;7899009002870;U;7;221.9
900288;BRINQUEDO EDUCATIVO CINZA MODELO 2027 288;7899009002880;U;14;238.9
900289;BODY GOLA POLO MARINHO BLOOM TESTE 289;7899009002890;RN;3;255.9
900289;BODY GOLA POLO MARINHO BLOOM TESTE 289;7899009002891;P;5;260.9
900290;MACACAO SUEDINE TERRACOTA COLECAO DEV 290;7899009002900;P;10;272.9
900290;MACACAO SUEDINE TERRACOTA COLECAO DEV 290;7899009002901;M;12;277.9
900290;MACACAO SUEDINE TERRACOTA COLECAO DEV 290;7899009002902;G;14;282.9
900291;VESTIDO TULE ROSA LINHA MINI 291;7899009002910;1;17;289.9
900291;VESTIDO TULE ROSA LINHA MINI 291;7899009002911;2;19;294.9
900292;CONJUNTO MOLETOM E JOGGER AZUL MODELO 2027 292;7899009002920;1;6;46.9
900292;CONJUNTO MOLETOM E JOGGER AZUL MODELO 2027 292;7899009002921;2;8;51.9
900292;CONJUNTO MOLETOM E JOGGER AZUL MODELO 2027 292;7899009002922;3;10;56.9
900293;BLUSA MANGA BUFANTE AMARELO BLOOM TESTE 293;7899009002930;1;13;63.9
900293;BLUSA MANGA BUFANTE AMARELO BLOOM TESTE 293;7899009002931;2;15;68.9
900294;CALCA MOLETOM VERDE COLECAO DEV 294;7899009002940;1;20;80.9
900294;CALCA MOLETOM VERDE COLECAO DEV 294;7899009002941;2;4;85.9
900294;CALCA MOLETOM VERDE COLECAO DEV 294;7899009002942;3;6;90.9
900295;SHORT MOLETOM LILAS LINHA MINI 295;7899009002950;1;9;97.9
900295;SHORT MOLETOM LILAS LINHA MINI 295;7899009002951;2;11;102.9
900296;CASACO TRICOT BEGE MODELO 2027 296;7899009002960;2;16;114.9
900296;CASACO TRICOT BEGE MODELO 2027 296;7899009002961;3;18;119.9
900296;CASACO TRICOT BEGE MODELO 2027 296;7899009002962;4;20;124.9
900297;PIJAMA FLANELA OFF WHITE BLOOM TESTE 297;7899009002970;1;5;131.9
900297;PIJAMA FLANELA OFF WHITE BLOOM TESTE 297;7899009002971;2;7;136.9
